timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1528988400,Jun 14 2018 - 3:00pm,complete,78011,Russia,Saudi Arabia,Néstor Fabián Pitana,1,0.00,0.00,1.60,1.00,5,0,5,2,2,0,"12,43,71,90'1,90'4","",6,2,1,0,1,0,0,1,0,1,10,3,7,0,3,3,22,10,38,62,0.00,0.00,1.81,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.30,8.25,1.44,2.35,4.55,10.00,2.55,1.44,Stadion Luzhniki (Moskva)
1529064000,Jun 15 2018 - 12:00pm,complete,27015,Egypt,Uruguay,Björn Kuipers,1,0.00,0.00,0.00,2.40,0,1,1,0,0,0,"","89",0,5,2,0,0,0,0,2,0,0,6,11,3,5,3,6,12,6,41,59,0.00,0.00,0.88,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.50,4.10,1.53,1.37,2.15,3.95,7.50,2.20,1.59,Ekaterinburg Arena
1529074800,Jun 15 2018 - 3:00pm,complete,62548,Morocco,Iran,Cüneyt Çakιr,1,0.00,0.00,0.33,1.33,0,1,1,0,0,0,"","90'5",5,2,1,0,3,0,1,0,1,2,9,8,3,2,6,6,22,14,67,33,0.00,0.00,1.15,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.00,3.75,1.62,2.95,6.15,15.00,2.25,1.56,Saint-Petersburg Stadium
1529085600,Jun 15 2018 - 6:00pm,complete,43866,Portugal,Spain,Gianluca Rocchi,1,0.00,0.00,1.25,1.50,3,3,6,3,2,1,"4,44,88","24,55,58",4,5,1,0,1,0,1,0,1,0,6,11,3,6,3,5,12,10,33,67,0.00,0.00,0.91,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.15,3.30,2.10,1.44,2.35,4.55,9.00,2.05,1.67,Olimpiyskiy Stadion Fisht (Sochi)
1529143200,Jun 16 2018 - 10:00am,complete,41279,France,Australia,Andrés Cunha,1,0.00,0.00,2.71,0.33,2,1,3,0,0,0,"58,80","62",5,1,1,0,3,0,0,1,1,2,10,4,5,1,5,3,16,19,55,45,0.00,0.00,1.32,0.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.26,7.00,10.25,1.20,1.65,2.60,4.33,2.30,1.54,Kazan' Arena
1529154000,Jun 16 2018 - 1:00pm,complete,44190,Argentina,Iceland,Szymon Marciniak,1,0.00,0.00,1.00,0.33,1,1,2,2,1,1,"19","23",10,2,0,0,0,0,0,0,0,0,17,7,7,2,10,5,10,15,77,23,0.00,0.00,2.31,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.30,11.00,1.27,1.87,3.20,5.50,2.25,1.56,Otkrytiye Arena
1529164800,Jun 16 2018 - 4:00pm,complete,40502,Peru,Denmark,Bakary Papa Gassama,1,0.00,0.00,1.00,1.50,0,1,1,0,0,0,"","59",3,7,1,0,2,0,1,0,0,2,15,8,6,3,9,5,10,18,53,47,0.00,0.00,1.74,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.20,2.50,1.47,2.40,4.70,12.00,2.05,1.69,Mordovia Arena
1529175600,Jun 16 2018 - 7:00pm,complete,31136,Croatia,Nigeria,Sandro Meira Ricci,1,0.00,0.00,2.00,1.00,2,0,2,1,1,0,"32,71","",6,5,2,0,1,0,1,1,0,1,9,9,2,2,7,7,20,16,54,46,0.00,0.00,1.02,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.75,5.30,1.41,2.25,4.25,7.50,2.10,1.65,Kaliningrad Stadium (Kaliningrad)
1529236800,Jun 17 2018 - 12:00pm,complete,41432,Costa Rica,Serbia,Malang Diedhiou,1,0.00,0.00,0.33,1.00,0,1,1,0,0,0,"","56",5,4,2,0,2,0,1,1,0,2,6,9,3,3,3,6,18,15,52,48,0.00,0.00,1.08,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.25,2.00,1.56,2.70,5.50,11.00,2.25,1.57,Samara Arena
1529247600,Jun 17 2018 - 3:00pm,complete,78011,Germany,Mexico,Alireza Faghani,1,0.00,0.00,1.00,1.50,0,1,1,1,0,1,"","35",8,1,2,0,2,0,0,2,1,1,17,11,9,4,8,7,10,16,66,34,0.00,0.00,2.35,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.75,7.25,1.23,1.74,2.85,41.00,1.91,1.80,Stadion Luzhniki (Moskva)
