timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1668960000,Nov 20 2022 - 4:00pm,complete,67372,Qatar,Ecuador,Daniele Orsato,1,0.00,0.00,0.00,1.33,0,2,2,2,0,2,"","16,31",1,3,4,0,2,0,3,1,1,1,5,6,0,3,5,3,15,15,47,53,0.00,0.00,0.44,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.10,2.05,1.56,2.02,2.13,9.00,2.05,1.70,Al Bayt Stadium (Al Khor)
1669035600,Nov 21 2022 - 1:00pm,complete,N/A,England,Iran,Raphael Claus,1,0.00,0.00,2.00,1.00,6,2,8,3,3,0,"35,43,45'1,62,71,90","65,90'13",8,0,0,0,2,0,0,0,1,1,13,8,7,3,6,5,9,14,78,22,0.00,0.00,1.78,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.00,11.00,1.40,1.91,3.75,7.50,2.25,1.57,Khalifa International Stadium (Al Rayyan (Ar-Rayyan))
1669046400,Nov 21 2022 - 4:00pm,complete,N/A,Senegal,Netherlands,Wilton Pereira Sampaio,1,0.00,0.00,1.50,2.20,0,2,2,0,0,0,"","84,90'9",6,7,2,0,1,0,0,2,0,1,16,10,4,3,12,7,13,13,47,53,0.00,0.00,1.67,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.80,1.65,1.38,2.10,4.05,8.60,2.05,1.70,Al Thumama Stadium (ad-Dōha (Doha))
1669057200,Nov 21 2022 - 7:00pm,complete,43418,USMNT,Wales,Abdulrahman Ibrahim Al Jassim,1,0.00,0.00,1.25,0.33,1,1,2,1,1,0,"36","82",5,3,4,0,2,0,2,2,2,0,6,7,1,3,5,4,15,10,59,41,0.00,0.00,0.87,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.20,2.88,1.47,2.38,4.50,9.50,2.05,1.70,Ahmad bin Ali Stadium (Al Rayyan (Al-Rayyan))
1669111200,Nov 22 2022 - 10:00am,complete,88012,Argentina,Saudi Arabia,Slavko Vinčić,1,0.00,0.00,2.00,1.00,1,2,3,1,1,0,"10","48,53",9,2,0,0,6,0,0,0,0,6,15,3,6,2,9,1,7,21,69,31,0.00,0.00,1.80,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.18,7.00,13.00,1.18,1.73,2.50,4.30,2.75,1.40,Lusail Iconic Stadium (Lusail)
1669122000,Nov 22 2022 - 1:00pm,complete,42925,Denmark,Tunisia,César Arturo Ramos Palazuelos,1,0.00,0.00,0.33,1.33,0,0,0,0,0,0,"","",11,9,2,0,1,0,1,1,0,1,11,13,5,1,6,12,9,10,61,39,0.00,0.00,1.53,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.75,7.50,1.38,2.10,4.05,8.80,2.10,1.67,Education City Stadium (Al Rayyan (Ar-Rayyan))
1669132800,Nov 22 2022 - 4:00pm,complete,N/A,Mexico,Poland,Chris Beath,1,0.00,0.00,1.33,1.00,0,0,0,0,0,0,"","",6,5,2,0,1,0,1,1,0,1,11,6,4,2,7,4,14,15,61,39,0.00,0.00,1.46,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.20,2.50,1.45,2.20,4.55,8.80,1.91,1.91,Stadium 974 (ad-Dōha (Doha))
1669143600,Nov 22 2022 - 7:00pm,complete,N/A,France,Australia,Victor Miguel de Freitas Gomes,1,0.00,0.00,2.29,1.50,4,1,5,3,2,1,"27,32,68,71","9",8,1,0,0,3,0,0,0,0,3,23,4,7,1,16,3,5,11,63,37,0.00,0.00,2.40,0.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,7.50,10.00,1.19,1.62,2.60,4.90,2.38,1.53,Al Janoub Stadium (Al Wakrah)
1669197600,Nov 23 2022 - 10:00am,complete,59407,Morocco,Croatia,Fernando Rapallini,1,0.00,0.00,1.57,1.43,0,0,0,0,0,0,"","",0,5,1,0,0,0,0,1,0,0,8,5,2,2,6,3,16,11,39,61,0.00,0.00,0.91,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.40,1.91,1.43,2.30,4.20,8.75,2.05,1.70,Al Bayt Stadium (Al Khor)
1669208400,Nov 23 2022 - 1:00pm,complete,42608,Germany,Japan,Ivan Arcides Barton Cisneros,1,0.00,0.00,1.33,1.75,1,2,3,1,1,0,"33","75,83",6,6,0,0,0,0,0,0,0,0,25,12,9,4,16,8,6,14,74,26,0.00,0.00,2.70,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.75,10.00,1.21,1.67,2.66,4.70,2.00,1.75,Khalifa International Stadium (Al Rayyan (Ar-Rayyan))
